Source Stop,Destination Stop,Encoding
New Princeton Station,PTS Campus,{hfuFd|tfMx@lBaFdDUUWTA`@iF~Db@tAXz@
PTS Campus,Graduate College,_ufuFjpufM`@|@pCzDhAzArAx@r@RvAFjB[\O
Graduate College,University / Edwards (Northbound),wafuFl|ufMgAZ{@JsAGo@IqAu@a@_@yByCkAaBc@_Aq@oBi@_Be@wAYaBIOKw@eAf@qAx@gD~BiBnA
University / Edwards (Northbound) ,Palmer Square (Eastbound),wgguFpkufM]X}A~@eCfBg@Xk@XcAcFu@yDQmA
Palmer Square (Eastbound),Nassau / Tulane,{vguFzcufMy@uEs@_E
Nassau / Tulane,201 Nassau / Charlton,izguFdwtfMoAkHsDePOs@
201 Nassau / Charlton,Friend Center,_chuF~zsfM_B_IjA_@xBw@j@U
Friend Center,Frist / Guyot (Southbound),m~guFpmsfM`A_@hBo@nDuAh@jCr@dEn@rDhAhGlGiE
Frist / Guyot (Southbound),Icahn Lab,mdguFrzsfMtIaG
Icahn Lab,New Princeton Station,gzfuFzrsfMhHmF|HuFzBkBlAlCl@v@fApAPb@vAnHdBhJ\fAE\DTb@An@x@dA|B|@jC}LxIkDbCy@cCQH}@z@mAhA
