Source Stop,Destination Stop,Encoding
Graduate College,Lawrence Apartments,uafuFj|ufM_AZy@Ji@@yAKqAo@YW_AmAkA}AeA{A]q@m@_B_@iAbAo@hDqCPJVKB_@p@_@lE}C~CyBvF}DlDiCnCmBvCwB|DsCT?|C}BN^RP`BfAx@`@dAd@k@lAB?FDLLJHHFPLPJLHVLLFPHJ@JADE@A
Lawrence Apartments,Lakeside Apartments,mrduFrltfMBIBSAYCSKYGHI@GAICSQuAcA{@a@qAo@mA{@USWk@cBjA{@p@S^yHpFw@gCy@oBo@y@OQDa@r@Wh@B^KfBsA
Lakeside Apartments,Jadwin Hall,emeuFf~sfMVQBu@kAa@m@Mq@Je@d@m@l@eAr@a@uBe@iC]mBg@kCe@eCQq@O_@]WeAmA[g@aAyBqD|CqEbDaEnCqF~D
Jadwin Hall,Woodrow Wilson School,e{fuFpssfMwE`DeGfEgDbC
Woodrow Wilson School,Friend Center,moguF~btfMaBjA{CzBwAjAwAfAsDkPoBmJjBq@fC_A
Friend Center,Frist / Guyot (Southbound),s~guFtmsfMhCaAvEeB^`Bj@bDjChOjCeB`CcB
Frist / Guyot (Southbound),Lot 21,kdguFpzsfMfI_GpF_E~HqFhDuCy@gB}@gA{@u@aBkAm@g@m@s@q@aAYy@_@oAs@cFg@wCm@wBw@cCuCpBgBnA~BbH
Lot 21,Lakeside Apartments,i|fuFzhrfMz@pCh@fBbCaBVKVDj@@Pt@Nf@Th@Xf@h@t@n@j@hAz@|@n@z@v@j@r@`AnB|@tBNXTZvA|APXJZrAdHt@dEp@nD^bAIPBXLJXIB[j@Yh@Bb@IdBsA
Lakeside Apartments,Lawrence Apartments,cmeuFd~sfMTSBu@gAYw@Ss@Rg@h@q@n@y@h@^bAGTHZVDJARTj@x@t@hBz@dCvHwFZIvAaAjAy@Td@t@l@fAl@j@ZbAb@g@lATPNNVPZRf@VVJP@HE@C
Lawrence Apartments,Graduate College,mrduFtltfMDO?[?QOi@CDGBE@IAGC[WiAy@[Sc@Os@]cAo@i@]_@k@IUaDzBKXsKvHyB`B_IvFwGtEcEjCSUWV?^uC~BuA`AVx@`@lA\x@t@hApAdBt@bAn@t@f@Zt@`@nALtAEzAc@
