Source Stop,Destination Stop,Encoding
PPPL South,Lakeview Apartments,{|guFv|ifMc@QTvBe@`Bs@Bi@Lw@\m@p@Od@c@tCs@~FIZ`DdAdEdB~CnArAf@zAh@|@FpFFlAV|DfAf@TxBzAZZbAvAXf@x@xBf@rBr@xFZfBb@nAn@tAPXdAlAv@h@PHNHl@R~Ad@pDdA`@FmA|Ia@dBo@lBmCzE}IdNe@h@gBrCc@z@WfAAz@Ft@Rr@Vb@d@\d@LfA@rCSt@Dr@Tj@Zh@n@t@h@|AtBfGzHF`@DVGh@k@H_Ag@i@Jc@?q@Ky@Yo@i@yDiFUw@WIYJaAbBm@|A
Lakeview Apartments,Dean Mathey,}qfuFhtnfMO\zAlBNZt@lB`@dBZ`ANRTH`@JbD^hBRj@BZOf@kBl@yDHk@PW^?dCdDbInKeAzBo@`AoAv@yBh@{Av@yAbB_GhLoBpHg@h@kLhDkGlE{AbA
Dean Mathey ,Jadwin Hall,e`guFv~pfM{AdAr@hBrA~Dv@zBXdAn@fBl@fB`@|AbA`DR|@T|@tAzIb@~ATf@^l@Zf@`@b@dBpAnAz@l@n@`@l@|@hBgHzF}FvD_E`D
Jadwin Hall,Lewis Library (Northbound),ozfuF|rsfMuGxE
Lewis Library (Northbound),Palmer Square (Eastbound),ecguFnysfMuHnFkCjBcExCoDnCnAnHnBtK
Palmer Square (Eastbound),New Princeton Station,{vguFxcufMjCnNv@_@dCcBr@g@lAw@\YjCiBl@a@`BkA|A}@f@SfBk@hBm@d@Ab@NVVN^JZXbAOVN`@X?Lk@~EeDWs@P]VMRODW]m@iAfA
New Princeton Station,Lakeside Apartments,{hfuFf|tfMz@jBr@g@~HoFnKwH{@kCy@oBm@w@OYD]f@Sd@@h@GlBwA
Lakeside Apartments,Jadwin Hall,cmeuFf~sfMTQB]AWi@WeAWk@D[L]f@o@l@}@h@Me@cAaGScAa@sBw@eEKWUYsA{AQYa@}@q@qAaB~AgCpBkBtAcCzAqA`AsB|AcAr@
Jadwin Hall,Lewis Library (Northbound),ozfuF|rsfMuGxE
Lewis Library (Northbound),Dean Mathey,ecguFpysfMQkAs@kEa@qCKm@IgAOiEUmBw@sCYoA_@uAu@gCy@aCbAw@z@u@dAaAvAmAp@e@`Au@vAeA`BiAdBmAp@e@g@mBuAaEy@gC_AoCs@oBo@eBl@_@
Dean Mathey,University Medical Center,u`guF`_qfMzAaAtEaDdAu@rK_Db@Ub@kAd@kBr@sC|EoJj@cAt@}@x@o@|@]x@Q~@[z@i@nAaBhAaCmIsK_AqAyAqB@i@Lk@^kAjBmEhB_ElBiEdAaC\u@e@]QMm@Sq@AG_AWaAQYoA_BkAaB[e@
University Medical Center,Forrestal / AOS,sweuFxkmfMk@w@{@kAa@m@cAuAqAeBj@aDX{@f@e@d@MhAMr@SZW^g@P_@IkAFOsAgA_Ai@kBm@c@SmD_AaBa@}@U[MOKKVe@nB?TYdA[x@OBeCq@{Bm@_AQcA[TiB
Forrestal / AOS,PPPL South,{yfuF|glfM{Cy@oA_@q@SeDs@o@dBiBzBsBlCI[cAkDa@cAu@uAa@g@cBgBo@g@gCeAcC_AeAc@c@Yk@g@Yc@Yq@]mAc@mCGyAHoAR{AZeCr@{FVsBn@}EX}BX_BTe@f@i@fAa@hAGd@aBQ_Bv@W
