Source Stop,Destination Stop,Encodings
Graduate College,New Princeton Station,wafuFl|ufMoA\kAJaBOcB_A_AoAaDkEq@}Ao@oBnFcEPPXU?]`FaD[s@T[d@YLY[o@kA`A
New Princeton Station,Lakeside Apartments,yhfuFd|tfMx@pBdWwQ}@iCw@oB_AkADa@j@Sh@@l@O~AmA
Lakeside Apartments,Lawrence Apartments,cmeuFd~sfMTSBs@mBk@{@F}@`Am@d@q@^`@dAIRHb@R?NAHNn@v@p@~An@fBTp@vEiDpBwAP?zC{BN^TThAt@lAn@fAh@i@hAf@`@l@b@|@b@LBNABC@C
Lawrence Apartments,Wegman's,mrduFtltfMBIBUAIY?UEQIgBoATg@cAc@yAu@oA}@Wi@pA{@hAeAl@Wx@@hCJvAUx@s@b@o@bEkKf@o@Zq@FgAUmAMgAXwAp@gAtAmBzEuGt@_ANKz@sAlAeCdAgAlAk@pEDxDHt@d@NBtOzRtD~E`ElF`D`EvD`FtE`GhDnE|C|DjDjE|C~DdCbDzB|CrAvAvHtJbHzI|FzHnMlPvGzIzJbMxAjB@d@TdAFnAIzAa@r@qB|CcGcI{CtE}AbCm@v@
Wegman's,Wal-Mart,we_uFjaxfMLLnBhCl@aAVZ|DqGvBrCRT`DfES^Qn@_A`B
Wal-Mart,Trader Joes,gs~tFdmxfMo@fAcAl@Qj@?NgFH@{@NaATw@`BmC|CiFtD{FRYPM\?p@DVb@ATNVhBbCxFrHnA`BjB`ClBdCfB|BVl@Zn@Dn@QbAm@f@w@Vq@IYg@S_AFeA\q@Xo@vBcAjDgAd@Gp@\VRVp@A|@Sl@k@d@s@Du@e@k@k@yC}DoAyAuDuEa@GyOcSaLwNgOqRkEuFeEsFkCiDMg@k@y@sDiFJUR_@LQNYpAmA{AsD_@Z
Trader Joes,Lawrence Apartments,mc`uFjhufMcA|@CDAB@D@Fv@fBHP@B@J?\EFKJODI?SE}@kAyBwCmCgDoDwEiEuFcD}DgD{D[OkJkLmGkIsRqVeQcU[{@e@gAyAqE}@mBy@{@cAtA{AtCcAfCgCxGyAzCk@~@ENuAhBsC`EoBlCy@xAIn@F~@Nx@J`@GnAk@`AaArB}@`CcB|Da@h@gAr@_BFoAIuBJe@PuBtAYTTd@\`@d@Xt@d@|@d@bAd@i@jAl@f@l@`@j@XZJLCBC@C
Lawrence Apartments,Lakeside Apartments,mrduFtltfMDS?WU@OASIKGaBkARe@a@WsAi@{AcA_@W_@w@w@b@kBzAW\qHpF{@kCy@iB{@qA@a@p@Sh@B`@GhBwA
Lakeside Apartments,New Princeton Station,cmeuFf~sfMTOBy@_A[y@Sy@Pg@l@s@n@u@b@^dAIXF^b@IJTl@v@n@vAh@|A^fAkFtDiCfB_DxBmFrD[q@Z]`@WH[Yk@mAfA
New Princeton Station,Graduate College,yhfuF`|tfMv@rB_F`DQO[LAd@uDtCw@h@b@tAj@vAn@hAdAvA~@pA~@hAh@`@|@`@nBJxAUp@U
