Source Stop,Dest Stop,Encoding
Merwick,Graduate College,"onhuFncvfMkC`BqEnDbB~IdHgFpKyG~HiEzEyCo@oCh@QxBp@zEtC`C{Gh@eA~AsAdAc@pBiApAjDv@tA`CbDz@dAzAz@vBNnCi@
"
Graduate College,Princeton Station,uafuFj|ufMyBf@}BCcB_AmBiC_C{C}AmEjF}DRLXOBc@`FaD{@oB
Princeton Station,Lawrence Apartments,yhfuFf|tfMx@nBjHeFl]oVXd@nA|@zAv@dAf@k@jAVTd@\\Tl@Z^FNK
Lawrence Apartments,Lakeside Apartments,krduFpltfMD]AI]?YISK{AgARe@]Ug@Sm@Uo@c@aAq@a@m@GQmNnK{@iCy@oBq@y@MQD]l@Yl@B^GlByA
Lakeside,Woodrow Wilson,ameuFb~sfMTS?o@uAc@a@Mw@Nk@n@gBvAu@gEs@cEq@_Dk@qCmBuBq@uAm@yAeCtBoCvBaIrFeLlI_GdEmCdB
Woodrow Wilson,Friend Center,coguFpbtfMoF~DkE`D_Hq[vFqB
Friend Center,Frist/Guyot (Southband),q~guFpmsfM~IgD^`Bd@rCp@xD~A|IzGkE
Frist/Guyot (Southband),Icahn,wcguFdzsfMzH{F
Icahn ,Lakeside Apartments,ayfuFtqsfM|DsCjDaCnIwGVn@b@~@Zl@^d@v@x@V\Rd@xDvSp@_@bBcBz@OjA^f@PAr@YT
Lakeside Apartments,Lawrence Apartments,cmeuFd~sfMkBtAi@Hc@Ck@XSUQ@IR@VLNZGz@hAz@jBx@lCxHwF`@K~CyBNb@jDxBdAf@g@lAb@ZXRRNVLVLTJP@HC
Lawrence Apartments,Princeton Station,mrduFtltfMDS?UO?QAUI_@UoA}@Rg@_@Wy@[y@c@u@i@e@[e@u@_Al@eBvAKR}WlR
Princeton Station,Merwick,u|euFvwtfMmP~KSSWPCf@cAt@cBpAeAv@yAdA{@J_Ah@eAbAgDfJkDgCaD_Aq@HNhA\|@aHrEoMrH}A~@q@{B}AsE
